Altamont,,,,,,,,,,,,
Jan-25,,,,,,,,,,,,
Report Date: 02/25/2025 22:46 PM,,,,,,,,,,,,
Municipality,Establishment,License Number,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,Net Terminal Income,NTI Tax,State Share,Municipality Share
Altamont,"Bella's Enterprises, LLC",180703961,6,88826.17,77262.99,11563.18,23388,11824.82,11563.18,4047.14,3451.97,595.17
Altamont,"Fred and Scottmo Enterprises, LLC",170702964,5,69466.27,61463.15,8003.12,22743,14739.88,8003.12,2801.06,2389.14,411.92
Altamont,"MJC Altamont, Inc.",130704401,4,141362.22,138270.54,3091.68,40386,37294.52,3091.48,1082.06,922.93,159.13
Altamont,"Ramsey Enterprises, LLC",160701987,3,22510.59,20866.83,1643.76,6764,5120.37,1643.63,575.29,490.69,84.6
Altamont,VFW Post 7676 Gieseking-Schwerdtfeger,120902193,5,112742.66,104619.39,8123.27,29489,21365.73,8123.27,2843.14,2425.03,418.11
Altamont,Whistle Stop Saloon LLC,160701144,6,227060.94,203561.88,23499.06,63822,40322.82,23499.18,8224.79,7015.26,1209.53
Altamont,Wortman Holdings LLC,201001805,10,1035229.37,968667.39,66561.98,324982,258419.48,66562.52,23296.84,19870.84,3426
